seq,timestamp_ns,msg_type,stock_locate,tracking_number,stock,order_ref,new_order_ref,side,shares,price,match_number,printable,attribution
30859,34203085900000,D,5,0,,13293,,,,,,,
30860,34203086000000,A,6,0,SPY,23302,,B,100,4998600,,,
30861,34203086100000,A,5,0,AMZN,14365,,S,500,1750600,,,
30862,34203086200000,A,2,0,MSFT,12626,,S,1100,3801800,,,
30863,34203086300000,E,2,0,,12474,,,200,,4345,,
30864,34203086400000,A,2,0,MSFT,12634,,B,100,3801200,,,
30865,34203086500000,A,2,0,MSFT,12642,,S,200,3801500,,,
30866,34203086600000,A,8,0,F,11320,,B,100,117400,,,
30867,34203086700000,U,5,0,,12565,14373,,100,1748400,,,
30868,34203086800000,A,2,0,MSFT,12650,,S,100,3802200,,,
30869,34203086900000,A,2,0,MSFT,12658,,S,100,3801500,,,
30870,34203087000000,A,2,0,MSFT,12666,,S,1500,3803800,,,
30871,34203087100000,A,2,0,MSFT,12674,,S,1700,3801500,,,
30872,34203087200000,A,8,0,F,11328,,B,100,117800,,,
30873,34203087300000,A,7,0,GME,11583,,B,500,253700,,,
30874,34203087400000,A,1,0,AAPL,16033,,B,100,1500100,,,
30875,34203087500000,D,4,0,,20020,,,,,,,
30876,34203087600000,X,2,0,,8738,,,47,,,,
30877,34203087700000,A,2,0,MSFT,12682,,B,69,3801300,,,
30878,34203087800000,A,4,0,TSLA,21956,,B,200,2500500,,,
30879,34203087900000,A,1,0,AAPL,16041,,B,1700,1501800,,,
30880,34203088000000,E,2,0,,10754,,,100,,4346,,
30881,34203088100000,D,1,0,,13161,,,,,,,
30882,34203088200000,A,2,0,MSFT,12690,,B,1500,3799300,,,
30883,34203088300000,D,8,0,,6984,,,,,,,
30884,34203088400000,A,8,0,F,11336,,B,100,119600,,,
30885,34203088500000,A,1,0,AAPL,16049,,B,200,1500500,,,
30886,34203088600000,U,1,0,,11273,16057,,200,1502600,,,
30887,34203088700000,D,1,0,,12729,,,,,,,
30888,34203088800000,D,6,0,,22774,,,,,,,
30889,34203088900000,A,7,0,GME,11591,,S,800,255600,,,
30890,34203089000000,D,3,0,,13259,,,,,,,
30891,34203089100000,A,2,0,MSFT,12698,,B,500,3801300,,,
30892,34203089200000,A,6,0,SPY,23310,,S,100,4999900,,,
30893,34203089300000,A,1,0,AAPL,16065,,S,100,1502600,,,
30894,34203089400000,A,3,0,NVDA,15107,,B,300,1200900,,,
30895,34203089500000,D,2,0,,12578,,,,,,,
30896,34203089600000,A,4,0,TSLA,21964,,B,100,2501000,,,
30897,34203089700000,D,4,0,,19724,,,,,,,
30898,34203089800000,D,5,0,,14133,,,,,,,
30899,34203089900000,D,2,0,,10610,,,,,,,
30900,34203090000000,E,7,0,,11559,,,100,,4347,,
30901,34203090100000,D,2,0,,8298,,,,,,,
30902,34203090200000,A,7,0,GME,11599,,S,100,255200,,,
30903,34203090300000,A,1,0,AAPL,16073,,B,100,1502400,,,
30904,34203090400000,D,2,0,,11554,,,,,,,
30905,34203090500000,A,2,0,MSFT,12706,,S,100,3801500,,,
30906,34203090600000,A,5,0,AMZN,14381,,B,42,1750100,,,
30907,34203090700000,D,6,0,,22670,,,,,,,
30908,34203090800000,D,7,0,,8535,,,,,,,
30909,34203090900000,D,2,0,,11138,,,,,,,
30910,34203091000000,D,3,0,,13347,,,,,,,
30911,34203091100000,F,8,0,F,11344,,B,500,119300,,,NSDQ
30912,34203091200000,A,6,0,SPY,23318,,S,100,4999900,,,
30913,34203091300000,F,3,0,NVDA,15115,,B,300,1202100,,,EDGX
30914,34203091400000,X,1,0,,15393,,,65,,,,
30915,34203091500000,U,7,0,,9607,11607,,100,254800,,,
30916,34203091600000,D,6,0,,22086,,,,,,,
30917,34203091700000,D,3,0,,14739,,,,,,,
30918,34203091800000,D,6,0,,17390,,,,,,,
30919,34203091900000,A,6,0,SPY,23326,,S,100,5002000,,,
30920,34203092000000,X,1,0,,14161,,,98,,,,
30921,34203092100000,D,6,0,,16334,,,,,,,
30922,34203092200000,D,2,0,,11466,,,,,,,
30923,34203092300000,A,2,0,MSFT,12714,,S,100,3801800,,,
30924,34203092400000,A,3,0,NVDA,15123,,S,1900,1202700,,,
30925,34203092500000,A,7,0,GME,11615,,B,400,254300,,,
30926,34203092600000,A,8,0,F,11352,,S,1600,120800,,,
30927,34203092700000,A,5,0,AMZN,14389,,S,100,1751800,,,
30928,34203092800000,D,1,0,,14057,,,,,,,
30929,34203092900000,A,2,0,MSFT,12722,,S,300,3801500,,,
30930,34203093000000,A,8,0,F,11360,,S,100,119800,,,
30931,34203093100000,F,1,0,AAPL,16081,,S,500,1502600,,,IEXG
30932,34203093200000,D,2,0,,11514,,,,,,,
30933,34203093300000,A,2,0,MSFT,12730,,S,100,3802000,,,
30934,34203093400000,A,3,0,NVDA,15131,,B,300,1202000,,,
30935,34203093500000,D,1,0,,11625,,,,,,,
30936,34203093600000,D,3,0,,15011,,,,,,,
30937,34203093700000,A,8,0,F,11368,,B,100,119000,,,
30938,34203093800000,A,7,0,GME,11623,,S,700,254700,,,
30939,34203093900000,A,3,0,NVDA,15139,,S,1300,1202300,,,
30940,34203094000000,A,1,0,AAPL,16089,,B,500,1502400,,,
30941,34203094100000,A,6,0,SPY,23334,,S,300,4999800,,,
30942,34203094200000,F,1,0,AAPL,16097,,B,300,1501600,,,EDGX
30943,34203094300000,E,3,0,,14747,,,200,,4348,,
30944,34203094400000,D,7,0,,11023,,,,,,,
30945,34203094500000,F,7,0,GME,11631,,S,100,255400,,,IEXG
30946,34203094600000,A,1,0,AAPL,16105,,S,100,1503100,,,
30947,34203094700000,E,3,0,,14747,,,300,,4349,,
30948,34203094800000,C,2,0,,12698,,,100,3801000,4350,Y,
30949,34203094900000,A,2,0,MSFT,12738,,B,400,3801100,,,
30950,34203095000000,A,4,0,TSLA,21972,,B,400,2500100,,,
30951,34203095100000,A,7,0,GME,11639,,B,100,254300,,,
30952,34203095200000,D,1,0,,15553,,,,,,,
30953,34203095300000,A,3,0,NVDA,15147,,S,400,1202300,,,
30954,34203095400000,A,4,0,TSLA,21980,,B,300,2501000,,,
30955,34203095500000,D,2,0,,11482,,,,,,,
30956,34203095600000,E,4,0,,21948,,,100,,4351,,
30957,34203095700000,D,3,0,,14163,,,,,,,
30958,34203095800000,D,7,0,,8215,,,,,,,
30959,34203095900000,A,6,0,SPY,23342,,B,100,4998000,,,
30960,34203096000000,D,7,0,,7935,,,,,,,
30961,34203096100000,A,1,0,AAPL,16113,,B,300,1500500,,,
30962,34203096200000,D,1,0,,15721,,,,,,,
30963,34203096300000,D,2,0,,11594,,,,,,,
30964,34203096400000,E,1,0,,13153,,,300,,4352,,
30965,34203096500000,E,2,0,,11306,,,100,,4353,,
30966,34203096600000,U,3,0,,14531,15155,,12,1202100,,,
30967,34203096700000,D,5,0,,13861,,,,,,,
30968,34203096800000,F,3,0,NVDA,15163,,B,100,1200700,,,ARCA
30969,34203096900000,A,8,0,F,11376,,S,100,120100,,,
30970,34203097000000,D,6,0,,9598,,,,,,,
30971,34203097100000,A,6,0,SPY,23350,,B,200,4999500,,,
30972,34203097200000,D,2,0,,9370,,,,,,,
30973,34203097300000,A,3,0,NVDA,15171,,S,100,1202800,,,
30974,34203097400000,D,1,0,,15361,,,,,,,
30975,34203097500000,A,3,0,NVDA,15179,,S,2000,1202300,,,
30976,34203097600000,F,2,0,MSFT,12746,,B,100,3801300,,,IEXG
30977,34203097700000,E,6,0,,22958,,,100,,4354,,
30978,34203097800000,D,7,0,,9351,,,,,,,
30979,34203097900000,D,6,0,,22574,,,,,,,
30980,34203098000000,A,4,0,TSLA,21988,,B,100,2500300,,,
30981,34203098100000,D,4,0,,21212,,,,,,,
30982,34203098200000,A,5,0,AMZN,14397,,S,100,1750300,,,
30983,34203098300000,F,8,0,F,11384,,B,400,119600,,,CDRG
30984,34203098400000,D,6,0,,22038,,,,,,,
30985,34203098500000,A,3,0,NVDA,15187,,B,67,1202000,,,
30986,34203098600000,A,4,0,TSLA,21996,,B,400,2501000,,,
30987,34203098700000,E,3,0,,14787,,,100,,4355,,
30988,34203098800000,F,2,0,MSFT,12754,,B,400,3800100,,,CDRG
30989,34203098900000,A,7,0,GME,11647,,S,300,255500,,,
30990,34203099000000,C,8,0,,11264,,,100,120000,4356,Y,
30991,34203099100000,A,3,0,NVDA,15195,,S,100,1202500,,,
30992,34203099200000,A,6,0,SPY,23358,,S,100,4999700,,,
30993,34203099300000,A,8,0,F,11392,,S,87,119800,,,
30994,34203099400000,D,1,0,,14593,,,,,,,
30995,34203099500000,A,3,0,NVDA,15203,,S,100,1204000,,,
30996,34203099600000,A,6,0,SPY,23366,,B,100,4997200,,,
30997,34203099700000,A,7,0,GME,11655,,B,1500,252900,,,
30998,34203099800000,A,2,0,MSFT,12762,,S,100,3803600,,,
30999,34203099900000,A,2,0,MSFT,12770,,B,400,3799700,,,
31000,34203100000000,A,6,0,SPY,23374,,S,100,5001100,,,
31001,34203100100000,D,2,0,,12410,,,,,,,
31002,34203100200000,D,6,0,,20102,,,,,,,
31003,34203100300000,A,3,0,NVDA,15211,,B,100,1202100,,,
31004,34203100400000,D,1,0,,14537,,,,,,,
31005,34203100500000,E,2,0,,10866,,,1500,,4357,,
31006,34203100600000,D,3,0,,14963,,,,,,,
31007,34203100700000,D,7,0,,9639,,,,,,,
31008,34203100800000,U,6,0,,21350,23382,,400,4999100,,,
31009,34203100900000,D,3,0,,14843,,,,,,,
31010,34203101000000,A,2,0,MSFT,12778,,S,100,3802200,,,
31011,34203101100000,E,5,0,,13645,,,100,,4358,,
31012,34203101200000,A,2,0,MSFT,12786,,S,100,3801600,,,
31013,34203101300000,A,2,0,MSFT,12794,,S,100,3801900,,,
31014,34203101400000,X,5,0,,11501,,,164,,,,
31015,34203101500000,A,4,0,TSLA,22004,,S,1700,2501200,,,
31016,34203101600000,A,6,0,SPY,23390,,B,400,4999500,,,
31017,34203101700000,A,3,0,NVDA,15219,,S,200,1202300,,,
31018,34203101800000,D,6,0,,20518,,,,,,,
31019,34203101900000,D,7,0,,3911,,,,,,,
31020,34203102000000,A,7,0,GME,11663,,S,1100,256600,,,
31021,34203102100000,D,3,0,,15147,,,,,,,
31022,34203102200000,A,2,0,MSFT,12802,,S,100,3801600,,,
31023,34203102300000,A,3,0,NVDA,15227,,B,400,1202100,,,
31024,34203102400000,D,6,0,,23238,,,,,,,
31025,34203102500000,D,1,0,,13969,,,,,,,
31026,34203102600000,D,6,0,,18446,,,,,,,
31027,34203102700000,A,6,0,SPY,23398,,S,100,5000900,,,
31028,34203102800000,E,2,0,,10834,,,100,,4359,,
31029,34203102900000,A,6,0,SPY,23406,,B,100,4999500,,,
31030,34203103000000,E,3,0,,15211,,,100,,4360,,
31031,34203103100000,D,2,0,,10506,,,,,,,
31032,34203103200000,D,5,0,,11925,,,,,,,
31033,34203103300000,A,8,0,F,11400,,S,100,122100,,,
31034,34203103400000,D,7,0,,10575,,,,,,,
31035,34203103500000,D,2,0,,12626,,,,,,,
31036,34203103600000,E,6,0,,23390,,,300,,4361,,
31037,34203103700000,A,3,0,NVDA,15235,,S,100,1204100,,,
31038,34203103800000,D,1,0,,15985,,,,,,,
31039,34203103900000,U,6,0,,22310,23414,,100,4999700,,,
31040,34203104000000,A,1,0,AAPL,16121,,S,7,1502700,,,
31041,34203104100000,X,3,0,,12539,,,4,,,,
31042,34203104200000,A,6,0,SPY,23422,,B,300,4999300,,,
31043,34203104300000,A,2,0,MSFT,12810,,S,200,3801600,,,
31044,34203104400000,A,5,0,AMZN,14405,,S,100,1751500,,,
31045,34203104500000,A,3,0,NVDA,15243,,S,900,1202600,,,
31046,34203104600000,E,5,0,,14013,,,67,,4362,,
31047,34203104700000,A,2,0,MSFT,12818,,B,1300,3801200,,,
31048,34203104800000,U,8,0,,10128,11408,,100,119900,,,
31049,34203104900000,A,1,0,AAPL,16129,,S,900,1502700,,,
31050,34203105000000,D,3,0,,14523,,,,,,,
31051,34203105100000,D,6,0,,23254,,,,,,,
31052,34203105200000,D,3,0,,14635,,,,,,,
31053,34203105300000,A,2,0,MSFT,12826,,B,100,3801400,,,
31054,34203105400000,E,7,0,,11623,,,100,,4363,,
31055,34203105500000,A,3,0,NVDA,15251,,B,300,1202100,,,
31056,34203105600000,A,5,0,AMZN,14413,,S,1300,1750400,,,
31057,34203105700000,A,1,0,AAPL,16137,,B,300,1502100,,,
31058,34203105800000,A,1,0,AAPL,16145,,S,500,1503800,,,
31059,34203105900000,E,6,0,,23406,,,100,,4364,,
31060,34203106000000,D,2,0,,10322,,,,,,,
31061,34203106100000,D,2,0,,11690,,,,,,,
31062,34203106200000,D,1,0,,14761,,,,,,,
31063,34203106300000,A,2,0,MSFT,12834,,B,500,3801300,,,
31064,34203106400000,F,1,0,AAPL,16153,,B,100,1502400,,,ARCA
31065,34203106500000,D,7,0,,9495,,,,,,,
31066,34203106600000,A,4,0,TSLA,22012,,S,100,2501400,,,
31067,34203106700000,A,4,0,TSLA,22020,,S,500,2502500,,,
31068,34203106800000,D,7,0,,10935,,,,,,,
31069,34203106900000,A,5,0,AMZN,14421,,S,100,1751700,,,
31070,34203107000000,A,2,0,MSFT,12842,,B,200,3801100,,,
31071,34203107100000,X,6,0,,22174,,,58,,,,
31072,34203107200000,A,3,0,NVDA,15259,,S,100,1202300,,,
31073,34203107300000,D,3,0,,14875,,,,,,,
31074,34203107400000,A,6,0,SPY,23430,,B,100,4999300,,,
31075,34203107500000,D,4,0,,21988,,,,,,,
31076,34203107600000,D,8,0,,11248,,,,,,,
31077,34203107700000,D,5,0,,12269,,,,,,,
31078,34203107800000,U,2,0,,12218,12850,,300,3800500,,,
31079,34203107900000,D,4,0,,21860,,,,,,,
31080,34203108000000,D,2,0,,10858,,,,,,,
31081,34203108100000,A,6,0,SPY,23438,,B,400,4997600,,,
31082,34203108200000,D,3,0,,13667,,,,,,,
31083,34203108300000,U,3,0,,10011,15267,,100,1200000,,,
31084,34203108400000,D,5,0,,12805,,,,,,,
31085,34203108500000,A,3,0,NVDA,15275,,B,100,1202100,,,
31086,34203108600000,A,7,0,GME,11671,,S,100,255900,,,
31087,34203108700000,E,3,0,,12691,,,100,,4365,,
31088,34203108800000,A,2,0,MSFT,12858,,S,100,3802500,,,
31089,34203108900000,A,2,0,MSFT,12866,,S,100,3804000,,,
31090,34203109000000,X,2,0,,10530,,,204,,,,
31091,34203109100000,A,2,0,MSFT,12874,,B,1000,3801400,,,
31092,34203109200000,D,7,0,,10599,,,,,,,
31093,34203109300000,A,2,0,MSFT,12882,,B,100,3799200,,,
31094,34203109400000,E,8,0,,9384,,,100,,4366,,
31095,34203109500000,A,7,0,GME,11679,,B,100,253500,,,
31096,34203109600000,E,6,0,,23390,,,100,,4367,,
31097,34203109700000,U,7,0,,5111,11687,,1900,253200,,,
31098,34203109800000,A,1,0,AAPL,16161,,S,500,1502600,,,
31099,34203109900000,U,1,0,,15641,16169,,100,1502600,,,
31100,34203110000000,F,4,0,TSLA,22028,,S,300,2501300,,,CDRG
31101,34203110100000,D,6,0,,19654,,,,,,,
31102,34203110200000,A,5,0,AMZN,14429,,S,100,1750900,,,
31103,34203110300000,A,1,0,AAPL,16177,,B,100,1501900,,,
31104,34203110400000,A,6,0,SPY,23446,,B,100,4999500,,,
31105,34203110500000,E,5,0,,11549,,,200,,4368,,
31106,34203110600000,D,1,0,,15537,,,,,,,
31107,34203110700000,U,3,0,,11523,15283,,200,1202100,,,
31108,34203110800000,X,8,0,,9832,,,97,,,,
31109,34203110900000,A,1,0,AAPL,16185,,B,100,1501900,,,
31110,34203111000000,A,6,0,SPY,23454,,B,100,4998700,,,
31111,34203111100000,A,2,0,MSFT,12890,,B,400,3801100,,,
31112,34203111200000,E,3,0,,15227,,,200,,4369,,
31113,34203111300000,D,8,0,,11368,,,,,,,
31114,34203111400000,A,1,0,AAPL,16193,,B,100,1502000,,,
31115,34203111500000,A,8,0,F,11416,,S,100,119800,,,
31116,34203111600000,A,7,0,GME,11695,,S,500,254500,,,
31117,34203111700000,D,4,0,,19948,,,,,,,
31118,34203111800000,D,1,0,,14897,,,,,,,
31119,34203111900000,A,8,0,F,11424,,B,100,119200,,,
31120,34203112000000,D,6,0,,19486,,,,,,,
31121,34203112100000,E,5,0,,14309,,,200,,4370,,
31122,34203112200000,D,6,0,,21678,,,,,,,
31123,34203112300000,A,2,0,MSFT,12898,,S,200,3802600,,,
31124,34203112400000,D,4,0,,19908,,,,,,,
31125,34203112500000,E,3,0,,15227,,,200,,4371,,
31126,34203112600000,A,6,0,SPY,23462,,S,500,5000600,,,
31127,34203112700000,D,6,0,,23446,,,,,,,
31128,34203112800000,F,3,0,NVDA,15291,,B,100,1200500,,,ARCA
31129,34203112900000,E,6,0,,23350,,,200,,4372,,
31130,34203113000000,D,1,0,,13329,,,,,,,
31131,34203113100000,X,3,0,,14683,,,69,,,,
31132,34203113200000,A,2,0,MSFT,12906,,S,100,3801600,,,
31133,34203113300000,A,3,0,NVDA,15299,,B,100,1202100,,,
31134,34203113400000,D,3,0,,13827,,,,,,,
31135,34203113500000,A,6,0,SPY,23470,,S,400,5000600,,,
31136,34203113600000,D,7,0,,10319,,,,,,,
31137,34203113700000,D,4,0,,21020,,,,,,,
31138,34203113800000,A,3,0,NVDA,15307,,S,100,1204200,,,
31139,34203113900000,A,3,0,NVDA,15315,,S,100,1202300,,,
31140,34203114000000,D,2,0,,12610,,,,,,,
31141,34203114100000,F,8,0,F,11432,,B,400,119200,,,CDRG
31142,34203114200000,X,4,0,,19612,,,8,,,,
31143,34203114300000,A,2,0,MSFT,12914,,B,100,3801400,,,
31144,34203114400000,D,3,0,,12107,,,,,,,
31145,34203114500000,E,6,0,,23414,,,100,,4373,,
31146,34203114600000,A,3,0,NVDA,15323,,B,97,1201400,,,
31147,34203114700000,A,6,0,SPY,23478,,B,1900,4997700,,,
31148,34203114800000,A,1,0,AAPL,16201,,B,1400,1501300,,,
31149,34203114900000,A,1,0,AAPL,16209,,S,200,1502600,,,
31150,34203115000000,D,1,0,,14305,,,,,,,
31151,34203115100000,D,6,0,,21718,,,,,,,
31152,34203115200000,D,3,0,,13715,,,,,,,
31153,34203115300000,U,4,0,,21884,22036,,100,2501500,,,
31154,34203115400000,D,7,0,,11607,,,,,,,
31155,34203115500000,E,3,0,,15283,,,100,,4374,,
31156,34203115600000,A,8,0,F,11440,,B,300,119600,,,
31157,34203115700000,A,6,0,SPY,23486,,B,100,4999500,,,
31158,34203115800000,D,1,0,,15393,,,,,,,
31159,34203115900000,A,6,0,SPY,23494,,S,100,5000300,,,
31160,34203116000000,D,2,0,,12362,,,,,,,
31161,34203116100000,A,1,0,AAPL,16217,,B,700,1500800,,,
31162,34203116200000,A,2,0,MSFT,12922,,B,64,3801400,,,
31163,34203116300000,D,1,0,,15825,,,,,,,
31164,34203116400000,A,7,0,GME,11703,,S,100,255700,,,
31165,34203116500000,E,2,0,,12826,,,100,,4375,,
31166,34203116600000,F,3,0,NVDA,15331,,B,100,1202000,,,NSDQ
31167,34203116700000,E,3,0,,10251,,,1500,,4376,,
31168,34203116800000,D,8,0,,11208,,,,,,,
31169,34203116900000,A,5,0,AMZN,14437,,B,400,1749600,,,
31170,34203117000000,D,6,0,,20726,,,,,,,
31171,34203117100000,A,1,0,AAPL,16225,,B,100,1502400,,,
31172,34203117200000,F,5,0,AMZN,14445,,S,1300,1750300,,,ARCA
31173,34203117300000,F,2,0,MSFT,12930,,S,100,3801600,,,EDGX
31174,34203117400000,D,3,0,,13603,,,,,,,
31175,34203117500000,A,8,0,F,11448,,S,100,120300,,,
31176,34203117600000,A,7,0,GME,11711,,B,100,254300,,,
31177,34203117700000,A,5,0,AMZN,14453,,B,100,1749400,,,
31178,34203117800000,A,1,0,AAPL,16233,,S,100,1503100,,,
31179,34203117900000,D,4,0,,15460,,,,,,,
31180,34203118000000,D,2,0,,10418,,,,,,,
31181,34203118100000,D,3,0,,13587,,,,,,,
31182,34203118200000,D,3,0,,10507,,,,,,,
31183,34203118300000,D,3,0,,12499,,,,,,,
31184,34203118400000,D,3,0,,13659,,,,,,,
31185,34203118500000,D,4,0,,20004,,,,,,,
31186,34203118600000,D,2,0,,11986,,,,,,,
31187,34203118700000,A,2,0,MSFT,12938,,S,1400,3803400,,,
31188,34203118800000,D,3,0,,15323,,,,,,,
31189,34203118900000,D,1,0,,15305,,,,,,,
31190,34203119000000,E,3,0,,15283,,,100,,4377,,
31191,34203119100000,A,1,0,AAPL,16241,,S,900,1503400,,,
31192,34203119200000,A,6,0,SPY,23502,,B,100,4998100,,,
31193,34203119300000,E,1,0,,13785,,,400,,4378,,
31194,34203119400000,X,3,0,,12723,,,50,,,,
31195,34203119500000,A,8,0,F,11456,,S,100,122200,,,
31196,34203119600000,A,7,0,GME,11719,,S,100,255800,,,
31197,34203119700000,D,6,0,,19806,,,,,,,
31198,34203119800000,E,5,0,,11829,,,500,,4379,,
31199,34203119900000,U,8,0,,10456,11464,,400,119800,,,
31200,34203120000000,E,2,0,,6690,,,300,,4380,,
31201,34203120100000,D,3,0,,14299,,,,,,,
31202,34203120200000,D,2,0,,12586,,,,,,,
31203,34203120300000,A,3,0,NVDA,15339,,S,200,1203800,,,
31204,34203120400000,A,4,0,TSLA,22044,,S,900,2501200,,,
31205,34203120500000,A,6,0,SPY,23510,,S,100,4999900,,,
31206,34203120600000,D,7,0,,9143,,,,,,,
31207,34203120700000,U,3,0,,15299,15347,,100,1201700,,,
31208,34203120800000,E,2,0,,10802,,,100,,4381,,
31209,34203120900000,A,3,0,NVDA,15355,,B,100,1201100,,,
31210,34203121000000,A,3,0,NVDA,15363,,S,400,1203500,,,
31211,34203121100000,D,5,0,,12765,,,,,,,
31212,34203121200000,D,8,0,,8472,,,,,,,
31213,34203121300000,D,1,0,,16033,,,,,,,
31214,34203121400000,D,3,0,,12019,,,,,,,
31215,34203121500000,A,6,0,SPY,23518,,B,200,4999100,,,
31216,34203121600000,D,3,0,,10939,,,,,,,
31217,34203121700000,E,8,0,,11464,,,100,,4382,,
31218,34203121800000,A,1,0,AAPL,16249,,S,100,1502600,,,
31219,34203121900000,X,3,0,,13115,,,56,,,,
31220,34203122000000,D,6,0,,23318,,,,,,,
31221,34203122100000,D,5,0,,11861,,,,,,,
31222,34203122200000,A,2,0,MSFT,12946,,B,18,3801400,,,
31223,34203122300000,A,4,0,TSLA,22052,,S,100,2502400,,,
31224,34203122400000,D,6,0,,20182,,,,,,,
31225,34203122500000,E,1,0,,13785,,,100,,4383,,
31226,34203122600000,D,7,0,,8959,,,,,,,
31227,34203122700000,A,4,0,TSLA,22060,,S,100,2501200,,,
31228,34203122800000,A,7,0,GME,11727,,B,1900,254400,,,
31229,34203122900000,D,2,0,,10474,,,,,,,
31230,34203123000000,D,1,0,,14937,,,,,,,
31231,34203123100000,A,1,0,AAPL,16257,,S,200,1502600,,,
31232,34203123200000,X,4,0,,20236,,,765,,,,
31233,34203123300000,A,6,0,SPY,23526,,B,100,4999500,,,
31234,34203123400000,A,3,0,NVDA,15371,,B,100,1200100,,,
31235,34203123500000,D,6,0,,23270,,,,,,,
31236,34203123600000,D,1,0,,15993,,,,,,,
31237,34203123700000,A,8,0,F,11472,,S,100,119800,,,
31238,34203123800000,A,6,0,SPY,23534,,B,500,4999500,,,
31239,34203123900000,F,3,0,NVDA,15379,,B,100,1202100,,,IEXG
31240,34203124000000,A,8,0,F,11480,,S,1400,120000,,,
31241,34203124100000,A,1,0,AAPL,16265,,S,1800,1502600,,,
31242,34203124200000,A,7,0,GME,11735,,B,100,254400,,,
31243,34203124300000,D,6,0,,22870,,,,,,,
31244,34203124400000,E,2,0,,11362,,,100,,4384,,
31245,34203124500000,A,3,0,NVDA,15387,,S,100,1204300,,,
31246,34203124600000,A,3,0,NVDA,15395,,B,100,1202100,,,
31247,34203124700000,U,2,0,,11818,12954,,100,3801400,,,
31248,34203124800000,A,2,0,MSFT,12962,,B,100,3801400,,,
31249,34203124900000,A,5,0,AMZN,14461,,S,1800,1750300,,,
31250,34203125000000,A,1,0,AAPL,16273,,B,500,1502400,,,
31251,34203125100000,D,6,0,,23294,,,,,,,
31252,34203125200000,X,2,0,,12250,,,40,,,,
31253,34203125300000,A,4,0,TSLA,22068,,S,100,2501200,,,
31254,34203125400000,D,4,0,,18124,,,,,,,
31255,34203125500000,D,5,0,,3325,,,,,,,
31256,34203125600000,A,3,0,NVDA,15403,,S,400,1202500,,,
31257,34203125700000,A,6,0,SPY,23542,,S,100,4999900,,,
31258,34203125800000,D,6,0,,22646,,,,,,,
31259,34203125900000,D,1,0,,16137,,,,,,,
31260,34203126000000,F,3,0,NVDA,15411,,B,400,1202100,,,CDRG
31261,34203126100000,A,1,0,AAPL,16281,,S,100,1504500,,,
31262,34203126200000,A,3,0,NVDA,15419,,B,200,1201800,,,
31263,34203126300000,D,2,0,,12802,,,,,,,
31264,34203126400000,E,7,0,,9503,,,100,,4385,,
31265,34203126500000,D,6,0,,21830,,,,,,,
31266,34203126600000,D,1,0,,11193,,,,,,,
31267,34203126700000,D,4,0,,15012,,,,,,,
31268,34203126800000,E,3,0,,10251,,,200,,4386,,
31269,34203126900000,D,4,0,,21972,,,,,,,
31270,34203127000000,D,1,0,,14769,,,,,,,
31271,34203127100000,E,3,0,,10155,,,100,,4387,,
31272,34203127200000,D,2,0,,9762,,,,,,,
31273,34203127300000,A,6,0,SPY,23550,,S,100,5001500,,,
31274,34203127400000,D,2,0,,11586,,,,,,,
31275,34203127500000,A,2,0,MSFT,12970,,S,100,3802200,,,
31276,34203127600000,A,2,0,MSFT,12978,,B,100,3801400,,,
31277,34203127700000,F,7,0,GME,11743,,B,33,254300,,,NSDQ
31278,34203127800000,D,3,0,,13635,,,,,,,
31279,34203127900000,A,1,0,AAPL,16289,,B,500,1502400,,,
31280,34203128000000,A,5,0,AMZN,14469,,B,100,1750100,,,
31281,34203128100000,D,1,0,,16081,,,,,,,
31282,34203128200000,A,8,0,F,11488,,S,100,119900,,,
31283,34203128300000,A,5,0,AMZN,14477,,B,100,1749100,,,
31284,34203128400000,D,5,0,,6909,,,,,,,
31285,34203128500000,E,2,0,,12946,,,18,,4388,,
31286,34203128600000,E,6,0,,23526,,,100,,4389,,
31287,34203128700000,A,8,0,F,11496,,S,100,120900,,,
31288,34203128800000,D,4,0,,20276,,,,,,,
31289,34203128900000,A,1,0,AAPL,16297,,B,500,1502400,,,
31290,34203129000000,A,8,0,F,11504,,B,100,118800,,,
31291,34203129100000,A,3,0,NVDA,15427,,S,100,1202300,,,
31292,34203129200000,A,7,0,GME,11751,,S,100,254600,,,
31293,34203129300000,A,3,0,NVDA,15435,,S,300,1202300,,,
31294,34203129400000,D,6,0,,20822,,,,,,,
31295,34203129500000,A,2,0,MSFT,12986,,B,73,3801400,,,
31296,34203129600000,D,3,0,,13075,,,,,,,
31297,34203129700000,F,6,0,SPY,23558,,S,200,4999700,,,ARCA
31298,34203129800000,A,8,0,F,11512,,B,86,119600,,,
31299,34203129900000,A,3,0,NVDA,15443,,B,100,1202100,,,
31300,34203130000000,E,6,0,,23262,,,800,,4390,,
31301,34203130100000,D,7,0,,11287,,,,,,,
31302,34203130200000,D,8,0,,11440,,,,,,,
31303,34203130300000,A,8,0,F,11520,,B,100,119600,,,
31304,34203130400000,A,3,0,NVDA,15451,,B,200,1202000,,,
31305,34203130500000,E,4,0,,21980,,,300,,4391,,
31306,34203130600000,A,6,0,SPY,23566,,B,100,4999400,,,
31307,34203130700000,X,1,0,,15577,,,16,,,,
31308,34203130800000,E,3,0,,11707,,,200,,4392,,
31309,34203130900000,D,8,0,,10352,,,,,,,
31310,34203131000000,A,8,0,F,11528,,S,100,121300,,,
